SDT_YY,SDT_MM,SDT_DD,SDT_DY,ARP,ODP,FLO,FLT,AOD,STT,DLY,DLY_RATE
2019,9,16,월,ARP3,ARP1,L,L1712,D,11:35,Y,0.2904536
2019,9,16,월,ARP1,ARP3,L,L1722,A,16:15,Y,0.3395424
2019,9,16,월,ARP3,ARP1,L,L1722,D,15:05,N,0.5972695
2019,9,16,월,ARP4,ARP3,L,L1802,A,9:25,N,0.68786466
2019,9,16,월,ARP3,ARP4,L,L1802,D,8:25,N,0.7174377
2019,9,16,월,ARP3,ARP8,L,L1905,A,17:15,Y,0.4318384
2019,9,16,월,ARP8,ARP3,L,L1905,D,16:30,Y,0.3185097
2019,9,16,월,ARP6,ARP3,J,J1959,A,16:40,N,0.8028003
2019,9,16,월,ARP3,ARP6,J,J1959,D,15:30,N,0.5713687
2019,9,16,월,ARP3,ARP1,L,L1713,A,12:55,N,0.8734527
2019,9,16,월,ARP1,ARP3,L,L1713,D,11:45,Y,0.40933853
2019,9,16,월,ARP3,ARP1,L,L1723,A,15:45,N,0.6758648
2019,9,16,월,ARP3,ARP4,L,L1803,A,9:55,N,0.6634693
2019,9,16,월,ARP4,ARP3,L,L1803,D,8:55,N,0.7451209
2019,9,16,월,ARP8,ARP3,L,L1906,A,15:55,N,0.69439054
2019,9,16,월,ARP3,ARP8,L,L1906,D,15:05,Y,0.44618613
2019,9,16,월,ARP3,ARP6,J,J1960,A,18:25,N,0.74680483
2019,9,16,월,ARP1,ARP3,L,L1723,D,14:35,N,0.6001212
2019,9,16,월,ARP4,ARP3,L,L1804,A,15:50,N,0.5936204
2019,9,16,월,ARP3,ARP4,L,L1804,D,14:45,N,0.52578044
2019,9,16,월,ARP3,ARP7,L,L1931,A,7:30,N,0.63875633
2019,9,16,월,ARP7,ARP3,L,L1931,D,6:40,N,0.8319134
2019,9,16,월,ARP6,ARP3,J,J1960,D,17:20,Y,0.441131
2019,9,16,월,ARP3,ARP1,L,L1715,A,14:00,N,0.7632247
2019,9,16,월,ARP1,ARP3,L,L1715,D,12:50,Y,0.3322482
2019,9,16,월,ARP3,ARP1,L,L1725,A,16:25,Y,0.43325764
2019,9,16,월,ARP1,ARP3,L,L1725,D,15:15,N,0.5505735
2019,9,16,월,ARP7,ARP3,L,L1932,A,19:00,N,0.7108811
2019,9,16,월,ARP3,ARP7,L,L1932,D,18:10,Y,0.37478846
2019,9,16,월,ARP3,ARP10,M,M1361,A,11:25,N,0.51527286
2019,9,16,월,ARP10,ARP3,M,M1361,D,9:50,N,0.56500375
2019,9,16,월,ARP1,ARP3,L,L1726,A,17:30,Y,0.30991012
2019,9,16,월,ARP3,ARP1,L,L1726,D,16:20,Y,0.3311007
2019,9,16,월,ARP3,ARP4,L,L1805,A,11:05,N,0.8058767
2019,9,16,월,ARP4,ARP3,L,L1805,D,10:05,N,0.7148588
2019,9,16,월,ARP3,ARP10,M,M1363,A,18:10,N,0.8303765
2019,9,16,월,ARP10,ARP3,M,M1363,D,16:50,N,0.61613905
2019,9,16,월,ARP3,ARP1,L,L1717,A,14:30,N,0.7954572
2019,9,16,월,ARP1,ARP3,L,L1717,D,13:20,Y,0.49013424
2019,9,16,월,ARP3,ARP1,L,L1727,A,18:35,N,0.55679905
2019,9,16,월,ARP1,ARP3,L,L1727,D,17:25,Y,0.433721
2019,9,16,월,ARP4,ARP3,L,L1806,A,19:05,Y,0.40352112
2019,9,16,월,ARP3,ARP4,L,L1806,D,18:05,Y,0.33087635
2019,9,16,월,ARP3,ARP1,L,L1701,A,7:50,Y,0.36086804
2019,9,16,월,ARP1,ARP3,L,L1701,D,6:40,N,0.7864627
2019,9,16,월,ARP1,ARP3,L,L1718,A,13:55,N,0.63179815
2019,9,16,월,ARP3,ARP1,L,L1718,D,12:45,Y,0.43544883
2019,9,16,월,ARP1,ARP3,L,L1728,A,18:15,N,0.69045675
2019,9,16,월,ARP3,ARP1,L,L1728,D,17:05,Y,0.49196994
2019,9,16,월,ARP3,ARP4,L,L1807,A,17:30,Y,0.37700045
2019,9,16,월,ARP4,ARP3,L,L1807,D,16:25,Y,0.41348124
2019,9,16,월,ARP1,ARP4,B,B1850,A,21:00,N,0.6143689
2019,9,16,월,ARP4,ARP1,B,B1850,D,20:05,Y,0.48180383
2019,9,16,월,ARP1,ARP5,J,J1607,A,13:10,N,0.82088643
2019,9,16,월,ARP5,ARP1,J,J1607,D,12:10,N,0.5724103
2019,9,16,월,ARP5,ARP1,J,J1608,A,14:50,N,0.83306754
2019,9,16,월,ARP1,ARP5,J,J1608,D,13:50,N,0.5197172
2019,9,16,월,ARP8,ARP1,A,A1703,A,10:30,N,0.7390044
2019,9,16,월,ARP1,ARP8,A,A1703,D,9:35,N,0.70298874
2019,9,16,월,ARP9,ARP1,J,J1334,A,9:40,N,0.794061
2019,9,16,월,ARP1,ARP9,J,J1334,D,8:40,N,0.5819124
2019,9,16,월,ARP1,ARP5,J,J1609,A,16:30,N,0.76633334
2019,9,16,월,ARP5,ARP1,J,J1609,D,15:30,N,0.5339482
2019,9,16,월,ARP5,ARP1,J,J1610,A,18:10,N,0.79693913
2019,9,16,월,ARP1,ARP5,J,J1610,D,17:10,Y,0.4969883
2019,9,16,월,ARP1,ARP8,A,A1704,A,11:55,N,0.8112355
2019,9,16,월,ARP8,ARP1,A,A1704,D,11:00,N,0.72501624
2019,9,16,월,ARP1,ARP5,J,J1611,A,19:50,N,0.7791616
2019,9,16,월,ARP5,ARP1,J,J1611,D,18:50,Y,0.46061504
2019,9,16,월,ARP8,ARP1,A,A1707,A,16:50,N,0.6896205
2019,9,16,월,ARP1,ARP8,A,A1707,D,16:00,Y,0.4659087
2019,9,16,월,ARP1,ARP8,A,A1708,A,18:10,N,0.5291003
2019,9,16,월,ARP8,ARP1,A,A1708,D,17:20,N,0.5383183
2019,9,16,월,ARP9,ARP1,J,J1336,A,18:10,N,0.7225559
2019,9,16,월,ARP1,ARP9,J,J1336,D,17:10,N,0.5093756
2019,9,16,월,ARP5,ARP1,J,J1612,A,21:05,N,0.8070768
2019,9,16,월,ARP1,ARP5,J,J1612,D,20:05,N,0.53027153
2019,9,16,월,ARP9,ARP1,A,A1733,A,13:30,N,0.8630328
2019,9,16,월,ARP1,ARP9,A,A1733,D,12:35,N,0.79495114
2019,9,16,월,ARP1,ARP9,J,J1337,A,19:50,N,0.69500506
2019,9,16,월,ARP9,ARP1,J,J1337,D,18:50,Y,0.44143683
2019,9,16,월,ARP12,ARP1,J,J1634,A,7:50,N,0.8357505
2019,9,16,월,ARP1,ARP12,J,J1634,D,6:50,N,0.52251124
2019,9,16,월,ARP1,ARP12,J,J1635,A,9:25,N,0.83940774
2019,9,16,월,ARP12,ARP1,J,J1635,D,8:25,N,0.6367675
2019,9,16,월,ARP1,ARP9,A,A1734,A,15:00,N,0.7947395
2019,9,16,월,ARP9,ARP1,A,A1734,D,14:05,N,0.5553812
2019,9,16,월,ARP5,ARP1,B,B1891,A,8:10,N,0.8487773
2019,9,16,월,ARP1,ARP5,B,B1891,D,7:10,N,0.76065004
2019,9,16,월,ARP12,ARP1,J,J1636,A,19:30,N,0.82925415
2019,9,16,월,ARP1,ARP12,J,J1636,D,18:30,Y,0.47125477
2019,9,16,월,ARP9,ARP1,A,A1735,A,17:15,N,0.71975857
2019,9,16,월,ARP1,ARP9,A,A1735,D,16:20,Y,0.48421878
2019,9,16,월,ARP1,ARP5,B,B1892,A,13:35,N,0.71921384
2019,9,16,월,ARP5,ARP1,B,B1892,D,12:35,N,0.6528528
2019,9,16,월,ARP1,ARP9,A,A1736,A,18:45,N,0.6162094
2019,9,16,월,ARP9,ARP1,A,A1736,D,17:50,N,0.50184846
2019,9,16,월,ARP11,ARP1,J,J1538,A,16:45,N,0.8167061
2019,9,16,월,ARP1,ARP11,J,J1538,D,15:50,N,0.57733893
2019,9,16,월,ARP1,ARP12,J,J1637,A,21:05,N,0.8586061
2019,9,16,월,ARP12,ARP1,J,J1637,D,20:05,N,0.6323973
2019,9,16,월,ARP5,ARP1,B,B1893,A,15:15,N,0.58025867
2019,9,16,월,ARP1,ARP5,B,B1893,D,14:15,N,0.5410665
2019,9,16,월,ARP1,ARP11,J,J1539,A,18:20,N,0.83177704
2019,9,16,월,ARP11,ARP1,J,J1539,D,17:25,N,0.50500494
2019,9,16,월,ARP1,ARP5,B,B1894,A,21:00,N,0.603778
2019,9,16,월,ARP5,ARP1,B,B1894,D,20:00,Y,0.44423378
2019,9,16,월,ARP1,ARP5,J,J1605,A,9:50,N,0.87553406
2019,9,16,월,ARP5,ARP1,J,J1605,D,8:50,N,0.75902927
2019,9,16,월,ARP5,ARP1,J,J1606,A,11:30,N,0.8004789
2019,9,16,월,ARP1,ARP5,J,J1606,D,10:30,N,0.5871972
2019,9,16,월,ARP2,ARP15,A,A1533,A,7:30,N,0.7445292
2019,9,16,월,ARP15,ARP2,A,A1533,D,6:30,N,0.63436913
2019,9,16,월,ARP1,ARP2,B,B1800,A,7:55,N,0.87545
2019,9,16,월,ARP2,ARP1,B,B1800,D,7:00,N,0.71802086
2019,9,16,월,ARP1,ARP2,B,B1816,A,15:55,N,0.61717975
2019,9,16,월,ARP2,ARP1,B,B1816,D,15:00,Y,0.4198358
2019,9,16,월,ARP2,ARP1,B,B1829,A,21:35,N,0.5973431
2019,9,16,월,ARP1,ARP2,B,B1829,D,20:30,Y,0.37221426
2019,9,16,월,ARP2,ARP1,J,J1108,A,10:05,N,0.9464592
2019,9,16,월,ARP1,ARP2,J,J1108,D,9:00,N,0.76076806
2019,9,16,월,ARP2,ARP1,J,J1114,A,13:05,N,0.9004765
2019,9,16,월,ARP1,ARP2,J,J1114,D,12:00,N,0.76728153
2019,9,16,월,ARP1,ARP2,J,J1127,A,20:40,N,0.5973623
2019,9,16,월,ARP2,ARP1,J,J1127,D,19:40,N,0.5153901
2019,9,16,월,ARP15,ARP2,J,J1411,A,17:40,N,0.7739312
2019,9,16,월,ARP2,ARP15,J,J1411,D,16:30,N,0.5367706
2019,9,16,월,ARP1,ARP2,B,B1802,A,8:55,N,0.9088842
2019,9,16,월,ARP2,ARP1,B,B1802,D,8:00,N,0.6990634
2019,9,16,월,ARP2,ARP1,B,B1817,A,15:25,N,0.6342304
2019,9,16,월,ARP1,ARP2,B,B1817,D,14:30,Y,0.33391804
2019,9,16,월,ARP1,ARP2,J,J1109,A,11:40,N,0.60807776
2019,9,16,월,ARP1,ARP2,J,J1115,A,14:40,N,0.63687503
2019,9,16,월,ARP2,ARP1,J,J1115,D,13:40,N,0.5155196
2019,9,16,월,ARP2,ARP1,J,J1128,A,20:05,N,0.9106043
2019,9,16,월,ARP1,ARP2,J,J1128,D,19:00,N,0.7463296
2019,9,16,월,ARP2,ARP10,M,M1351,A,14:30,N,0.54423726
2019,9,16,월,ARP10,ARP2,M,M1351,D,13:40,N,0.6075045
2019,9,16,월,ARP2,ARP1,J,J1116,A,14:05,N,0.89031744
2019,9,16,월,ARP1,ARP2,J,J1116,D,13:00,N,0.753147
2019,9,16,월,ARP10,ARP2,M,M1352,A,16:05,N,0.8320159
2019,9,16,월,ARP2,ARP10,M,M1352,D,15:05,N,0.6062342
2019,9,16,월,ARP15,ARP2,A,A1534,A,17:00,N,0.683252
2019,9,16,월,ARP2,ARP15,A,A1534,D,16:05,Y,0.48570102
2019,9,16,월,ARP2,ARP1,B,B1803,A,8:25,N,0.9088842
2019,9,16,월,ARP1,ARP2,B,B1803,D,7:30,N,0.7123692
2019,9,16,월,ARP1,ARP2,B,B1818,A,16:55,N,0.6519666
2019,9,16,월,ARP2,ARP1,B,B1818,D,16:00,Y,0.29225814
2019,9,16,월,ARP1,ARP2,B,B1804,A,9:55,N,0.86833715
2019,9,16,월,ARP2,ARP1,B,B1804,D,9:00,N,0.55979663
2019,9,16,월,ARP2,ARP1,B,B1819,A,16:25,N,0.68517447
2019,9,16,월,ARP1,ARP2,B,B1819,D,15:30,Y,0.40868115
2019,9,16,월,ARP1,ARP2,J,J1117,A,15:40,N,0.57226413
2019,9,16,월,ARP2,ARP1,J,J1117,D,14:40,N,0.55060375
2019,9,16,월,ARP2,ARP1,B,B1805,A,9:25,N,0.8845555
2019,9,16,월,ARP1,ARP2,B,B1805,D,8:30,N,0.6680831
2019,9,16,월,ARP1,ARP2,B,B1820,A,17:55,N,0.73449945
2019,9,16,월,ARP2,ARP1,B,B1820,D,17:00,Y,0.28808194
2019,9,16,월,ARP2,ARP1,J,J1118,A,15:05,N,0.8889762
2019,9,16,월,ARP1,ARP2,J,J1118,D,14:00,N,0.7701819
2019,9,16,월,ARP1,ARP2,B,B1806,A,10:55,N,0.8836418
2019,9,16,월,ARP2,ARP1,B,B1806,D,10:00,N,0.6244639
2019,9,16,월,ARP2,ARP1,B,B1821,A,17:25,N,0.73449945
2019,9,16,월,ARP1,ARP2,B,B1821,D,16:30,Y,0.2882259
2019,9,16,월,ARP1,ARP2,J,J1119,A,16:40,N,0.55419624
2019,9,16,월,ARP2,ARP1,J,J1119,D,15:40,N,0.5799266
2019,9,16,월,ARP1,ARP2,J,J1129,A,21:40,N,0.639066
2019,9,16,월,ARP2,ARP1,J,J1129,D,20:40,N,0.5847008
2019,9,16,월,ARP2,ARP1,J,J1130,A,21:05,N,0.9374061
2019,9,16,월,ARP1,ARP2,J,J1130,D,20:00,N,0.7834523
2019,9,16,월,ARP2,ARP1,B,B1807,A,10:25,N,0.8981959
2019,9,16,월,ARP1,ARP2,B,B1807,D,9:30,N,0.59137523
2019,9,16,월,ARP2,ARP1,J,J1120,A,16:05,N,0.89095145
2019,9,16,월,ARP1,ARP2,J,J1120,D,15:00,N,0.7701819
2019,9,16,월,ARP2,ARP15,J,J1404,A,9:30,N,0.7342373
2019,9,16,월,ARP15,ARP2,J,J1404,D,8:25,N,0.7653752
2019,9,16,월,ARP1,ARP2,B,B1822,A,18:55,N,0.61665595
2019,9,16,월,ARP2,ARP1,B,B1822,D,18:00,Y,0.3002324
2019,9,16,월,ARP15,ARP2,J,J1405,A,8:10,N,0.68897617
2019,9,16,월,ARP2,ARP15,J,J1405,D,7:05,N,0.7696655
2019,9,16,월,ARP1,ARP2,B,B1808,A,11:55,N,0.8678438
2019,9,16,월,ARP2,ARP1,B,B1808,D,11:00,Y,0.49612862
2019,9,16,월,ARP2,ARP1,B,B1823,A,18:25,N,0.6514317
2019,9,16,월,ARP1,ARP2,B,B1823,D,17:30,Y,0.26824933
2019,9,16,월,ARP1,ARP2,J,J1121,A,17:40,N,0.5724168
2019,9,16,월,ARP2,ARP1,J,J1121,D,16:40,N,0.5249469
2019,9,16,월,ARP2,ARP1,B,B1809,A,11:25,N,0.88121057
2019,9,16,월,ARP1,ARP2,B,B1809,D,10:30,N,0.67290145
2019,9,16,월,ARP1,ARP2,B,B1824,A,19:55,N,0.611215
2019,9,16,월,ARP2,ARP1,B,B1824,D,19:00,Y,0.2708791
2019,9,16,월,ARP1,ARP2,J,J1103,A,8:00,N,0.7071603
2019,9,16,월,ARP2,ARP1,J,J1103,D,7:00,N,0.84504163
2019,9,16,월,ARP2,ARP1,J,J1109,D,10:40,N,0.7465614
2019,9,16,월,ARP2,ARP1,J,J1122,A,17:05,N,0.89542514
2019,9,16,월,ARP1,ARP2,J,J1122,D,16:00,N,0.7466221
2019,9,16,월,ARP2,ARP15,J,J1406,A,19:30,N,0.8027184
2019,9,16,월,ARP15,ARP2,J,J1406,D,18:25,Y,0.45087862
2019,9,16,월,ARP2,ARP1,B,B1811,A,12:25,N,0.7745846
2019,9,16,월,ARP1,ARP2,B,B1811,D,11:30,N,0.5784105
2019,9,16,월,ARP2,ARP1,B,B1825,A,19:25,N,0.64620113
2019,9,16,월,ARP1,ARP2,B,B1825,D,18:30,Y,0.27989227
2019,9,16,월,ARP2,ARP1,J,J1104,A,8:05,N,0.9442561
2019,9,16,월,ARP1,ARP2,J,J1104,D,7:00,N,0.83042616
2019,9,16,월,ARP2,ARP1,J,J1110,A,11:05,N,0.92087495
2019,9,16,월,ARP1,ARP2,J,J1110,D,10:00,N,0.7693131
2019,9,16,월,ARP1,ARP2,J,J1123,A,18:40,N,0.5672309
2019,9,16,월,ARP2,ARP1,J,J1123,D,17:40,Y,0.49326545
2019,9,16,월,ARP15,ARP2,J,J1407,A,11:55,N,0.6106614
2019,9,16,월,ARP2,ARP15,J,J1407,D,10:50,N,0.7709713
2019,9,16,월,ARP1,ARP2,B,B1812,A,13:55,N,0.735878
2019,9,16,월,ARP2,ARP1,B,B1812,D,13:00,Y,0.3804788
2019,9,16,월,ARP1,ARP2,H,H1207,A,20:25,N,0.6407387
2019,9,16,월,ARP2,ARP1,H,H1207,D,19:30,Y,0.1285553
2019,9,16,월,ARP1,ARP2,J,J1105,A,9:40,N,0.68142736
2019,9,16,월,ARP2,ARP1,J,J1105,D,8:40,N,0.7465614
2019,9,16,월,ARP1,ARP2,J,J1111,A,12:40,N,0.71509093
2019,9,16,월,ARP2,ARP1,J,J1124,A,18:05,N,0.895163
2019,9,16,월,ARP1,ARP2,J,J1124,D,17:00,N,0.7164707
2019,9,16,월,ARP2,ARP15,J,J1408,A,18:20,N,0.8060964
2019,9,16,월,ARP15,ARP2,J,J1408,D,17:15,N,0.5006412
2019,9,16,월,ARP1,ARP2,B,B1826,A,20:55,N,0.61569285
2019,9,16,월,ARP2,ARP1,B,B1826,D,20:00,Y,0.33845896
2019,9,16,월,ARP2,ARP1,J,J1111,D,11:40,N,0.7292168
2019,9,16,월,ARP2,ARP15,A,A1531,A,20:20,Y,0.33951026
2019,9,16,월,ARP15,ARP2,A,A1531,D,19:20,Y,0.43102443
2019,9,16,월,ARP2,ARP1,B,B1813,A,13:25,N,0.7629959
2019,9,16,월,ARP1,ARP2,B,B1813,D,12:30,N,0.5673795
2019,9,16,월,ARP2,ARP1,B,B1827,A,20:25,N,0.6589688
2019,9,16,월,ARP1,ARP2,B,B1827,D,19:30,Y,0.3365941
2019,9,16,월,ARP2,ARP1,H,H1208,A,21:05,Y,0.45724607
2019,9,16,월,ARP1,ARP2,H,H1208,D,19:50,Y,0.12444532
2019,9,16,월,ARP2,ARP1,J,J1106,A,9:05,N,0.9410083
2019,9,16,월,ARP1,ARP2,J,J1106,D,8:00,N,0.7693131
2019,9,16,월,ARP2,ARP1,J,J1112,A,12:05,N,0.9481382
2019,9,16,월,ARP1,ARP2,J,J1112,D,11:00,N,0.7787233
2019,9,16,월,ARP1,ARP2,J,J1125,A,19:40,N,0.5604077
2019,9,16,월,ARP2,ARP1,J,J1125,D,18:40,N,0.51481825
2019,9,16,월,ARP15,ARP2,J,J1409,A,14:35,N,0.7737199
2019,9,16,월,ARP2,ARP15,J,J1409,D,13:30,N,0.57968557
2019,9,16,월,ARP2,ARP15,J,J1410,A,20:40,N,0.8059472
2019,9,16,월,ARP15,ARP2,J,J1410,D,19:35,N,0.51337975
2019,9,16,월,ARP15,ARP2,A,A1532,A,8:00,N,0.678996
2019,9,16,월,ARP2,ARP15,A,A1532,D,7:00,N,0.72414637
2019,9,16,월,ARP1,ARP2,B,B1814,A,14:55,N,0.7199948
2019,9,16,월,ARP2,ARP1,B,B1814,D,14:00,Y,0.34815454
2019,9,16,월,ARP1,ARP2,B,B1828,A,21:55,N,0.56770414
2019,9,16,월,ARP2,ARP1,B,B1828,D,21:00,Y,0.47257268
2019,9,16,월,ARP1,ARP2,J,J1107,A,10:40,N,0.7159146
2019,9,16,월,ARP2,ARP1,J,J1107,D,9:40,N,0.7465614
2019,9,16,월,ARP1,ARP2,J,J1113,A,13:40,N,0.62889624
2019,9,16,월,ARP2,ARP1,J,J1113,D,12:40,N,0.72857404
2019,9,16,월,ARP2,ARP1,J,J1126,A,19:05,N,0.9026651
2019,9,16,월,ARP1,ARP2,J,J1126,D,18:00,N,0.7408166
2019,9,16,월,ARP3,ARP6,A,A1235,A,18:20,N,0.6130998
2019,9,16,월,ARP6,ARP3,A,A1235,D,17:10,N,0.6877723
2019,9,16,월,ARP1,ARP3,A,A1914,A,10:30,N,0.62955964
2019,9,16,월,ARP3,ARP1,A,A1914,D,9:20,Y,0.48928332
2019,9,16,월,ARP3,ARP1,A,A1941,A,12:25,N,0.85541964
2019,9,16,월,ARP1,ARP3,A,A1941,D,11:15,N,0.83250546
2019,9,16,월,ARP3,ARP1,A,A1963,A,16:15,N,0.61070204
2019,9,16,월,ARP1,ARP3,A,A1963,D,15:05,N,0.6190722
2019,9,16,월,ARP3,ARP1,A,A1991,A,20:35,Y,0.3589043
2019,9,16,월,ARP1,ARP3,A,A1991,D,19:20,Y,0.45929605
2019,9,16,월,ARP3,ARP2,B,B1111,A,14:20,N,0.61714524
2019,9,16,월,ARP2,ARP3,B,B1111,D,13:20,Y,0.38362008
2019,9,16,월,ARP3,ARP2,B,B1173,A,18:05,N,0.53006756
2019,9,16,월,ARP2,ARP3,B,B1173,D,17:00,N,0.548093
2019,9,16,월,ARP3,ARP5,B,B1307,A,17:10,N,0.67212224
2019,9,16,월,ARP5,ARP3,B,B1307,D,16:00,Y,0.23942035
2019,9,16,월,ARP3,ARP1,F,F1213,A,13:00,N,0.9279113
2019,9,16,월,ARP1,ARP3,F,F1213,D,11:50,N,0.6672638
2019,9,16,월,ARP1,ARP3,F,F1226,A,19:35,N,0.74763626
2019,9,16,월,ARP3,ARP1,F,F1226,D,18:25,Y,0.31307787
2019,9,16,월,ARP3,ARP6,F,F1701,A,8:50,N,0.881783
2019,9,16,월,ARP6,ARP3,F,F1701,D,7:50,Y,0.46249807
2019,9,16,월,ARP1,ARP3,H,H1124,A,19:00,N,0.68775105
2019,9,16,월,ARP3,ARP1,H,H1124,D,17:50,Y,0.2778644
2019,9,16,월,ARP3,ARP1,H,H1145,A,17:55,N,0.6362805
2019,9,16,월,ARP1,ARP3,H,H1145,D,16:55,Y,0.16815293
2019,9,16,월,ARP1,ARP3,H,H1146,A,19:50,N,0.62675107
2019,9,16,월,ARP3,ARP1,H,H1146,D,18:40,Y,0.2317189
2019,9,16,월,ARP3,ARP2,H,H1509,A,13:20,N,0.81501025
2019,9,16,월,ARP2,ARP3,H,H1509,D,12:20,N,0.5147562
2019,9,16,월,ARP3,ARP4,H,H1705,A,17:15,Y,0.3962226
2019,9,16,월,ARP4,ARP3,H,H1705,D,16:05,Y,0.19981635
2019,9,16,월,ARP1,ARP3,I,I1318,A,14:20,N,0.89495885
2019,9,16,월,ARP3,ARP1,I,I1318,D,13:05,N,0.52569336
2019,9,16,월,ARP3,ARP2,I,I1563,A,13:05,N,0.8632343
2019,9,16,월,ARP2,ARP3,I,I1563,D,12:05,Y,0.43477184
2019,9,16,월,ARP3,ARP8,I,I1593,A,12:05,N,0.88416564
2019,9,16,월,ARP8,ARP3,I,I1593,D,11:15,Y,0.41801947
2019,9,16,월,ARP2,ARP3,J,J1019,A,21:45,N,0.84789336
2019,9,16,월,ARP3,ARP2,J,J1019,D,20:45,N,0.5192379
2019,9,16,월,ARP1,ARP3,J,J1215,A,11:45,N,0.82503414
2019,9,16,월,ARP3,ARP1,J,J1215,D,10:35,N,0.80029666
2019,9,16,월,ARP3,ARP1,J,J1216,A,11:15,N,0.83808666
2019,9,16,월,ARP1,ARP3,J,J1216,D,10:05,N,0.78418744
