,Unnamed: 0,SDT_YY,SDT_MM,SDT_DD,SDT_DY,ARP,ODP,FLO,FLT,STT,DLY,DLY_RATE,STT_HOUR,QUARTER,AOD_0,AOD_1,STT_weight
57,71,0,0,0,3,4,1,0,51,35,0.0,0.69439054,9,0,1,0,0.06578947368421052
58,72,0,0,0,3,1,4,0,51,30,1.0,0.44618613,9,0,0,1,0.06578947368421052
14,73,0,0,0,3,7,10,0,173,91,0.0,0.74680483,12,0,1,0,0.07997311827956989
59,74,0,0,0,3,0,1,0,22,27,0.0,0.6001211999999999,8,0,0,1,0.07090643274853801
60,75,0,0,0,3,2,1,0,39,34,0.0,0.5936204,9,0,1,0,0.06578947368421052
61,76,0,0,0,3,1,2,0,39,29,0.0,0.52578044,8,0,0,1,0.07090643274853801
62,77,0,0,0,3,1,3,0,52,73,0.0,0.63875633,1,0,1,0,0.05482456140350877
63,78,0,0,0,3,3,1,0,52,70,0.0,0.8319134,0,0,0,1,0.03289473684210526
15,79,0,0,0,3,10,7,0,173,80,1.0,0.44113100000000005,11,0,0,1,0.07280465949820789
64,80,0,0,0,3,1,0,0,14,23,0.0,0.7632247,8,0,1,0,0.07090643274853801
65,81,0,0,0,3,0,1,0,14,17,1.0,0.3322482,6,0,0,1,0.08260233918128655
66,82,0,0,0,3,1,0,0,24,38,1.0,0.43325764,10,0,1,0,0.0489766081871345
67,83,0,0,0,3,0,1,0,24,31,0.0,0.5505734999999999,9,0,0,1,0.06578947368421052
68,84,0,0,0,3,3,1,0,53,52,0.0,0.7108810999999999,13,0,1,0,0.07529239766081873
69,85,0,0,0,3,1,3,0,53,47,1.0,0.37478846,12,0,0,1,0.07675438596491227
0,86,0,0,0,3,2,0,0,2,2,0.0,0.51527286,2,0,1,0,0.15625
1,87,0,0,0,3,0,2,0,2,19,0.0,0.56500375,0,0,0,1,0.13541666666666666
70,88,0,0,0,3,0,1,0,25,44,1.0,0.30991012,11,0,1,0,0.0577485380116959
71,89,0,0,0,3,1,0,0,25,37,1.0,0.3311007,10,0,0,1,0.0489766081871345
72,90,0,0,0,3,1,2,0,40,8,0.0,0.8058767,5,0,1,0,0.07163742690058479
73,91,0,0,0,3,2,1,0,40,1,0.0,0.7148588,4,0,0,1,0.06067251461988304
2,92,0,0,0,3,2,0,0,3,17,0.0,0.8303765,7,0,1,0,0.15625
3,93,0,0,0,3,0,2,0,3,16,0.0,0.61613905,6,0,0,1,0.25
74,94,0,0,0,3,1,0,0,16,26,0.0,0.7954572,8,0,1,0,0.07090643274853801
75,95,0,0,0,3,0,1,0,16,19,1.0,0.49013424,7,0,0,1,0.04312865497076023
76,96,0,0,0,3,1,0,0,26,50,0.0,0.55679905,12,0,1,0,0.07675438596491227
77,97,0,0,0,3,0,1,0,26,43,1.0,0.433721,11,0,0,1,0.0577485380116959
78,98,0,0,0,3,2,1,0,41,53,1.0,0.40352112,13,0,1,0,0.07529239766081873
79,99,0,0,0,3,1,2,0,41,46,1.0,0.33087635,12,0,0,1,0.07675438596491227
80,100,0,0,0,3,1,0,0,0,74,1.0,0.36086804,1,0,1,0,0.05482456140350877
81,101,0,0,0,3,0,1,0,0,70,0.0,0.7864627,0,0,0,1,0.03289473684210526
82,102,0,0,0,3,0,1,0,17,22,0.0,0.63179815,7,0,1,0,0.04312865497076023
83,103,0,0,0,3,1,0,0,17,16,1.0,0.43544883,6,0,0,1,0.08260233918128655
84,104,0,0,0,3,0,1,0,27,48,0.0,0.69045675,12,0,1,0,0.07675438596491227
85,105,0,0,0,3,1,0,0,27,41,1.0,0.49196994,11,0,0,1,0.0577485380116959
86,106,0,0,0,3,1,2,0,42,44,1.0,0.37700045,11,0,1,0,0.0577485380116959
87,107,0,0,0,3,2,1,0,42,38,1.0,0.41348124,10,0,0,1,0.0489766081871345
0,108,0,0,0,3,0,3,0,82,85,0.0,0.6143689,15,0,1,0,0.05505819158460161
1,109,0,0,0,3,3,0,0,82,79,1.0,0.48180383,14,0,0,1,0.05774395702775291
16,110,0,0,0,3,0,9,0,126,34,0.0,0.82088643,7,0,1,0,0.07146057347670251
17,111,0,0,0,3,9,0,0,126,23,0.0,0.5724103,6,0,0,1,0.058915770609319
18,112,0,0,0,3,9,0,0,127,52,0.0,0.83306754,8,0,1,0,0.06541218637992832
19,113,0,0,0,3,0,9,0,127,41,0.0,0.5197172000000001,7,0,0,1,0.07146057347670251
0,114,0,0,0,3,8,0,0,45,3,0.0,0.7390044,4,0,1,0,0.04460580912863071
1,115,0,0,0,3,0,8,0,45,144,0.0,0.70298874,3,0,0,1,0.07607192254495157
20,116,0,0,0,3,12,0,0,108,160,0.0,0.794061,3,0,1,0,0.06025985663082437
21,117,0,0,0,3,0,12,0,108,150,0.0,0.5819124,2,0,0,1,0.06630824372759858
22,118,0,0,0,3,0,9,0,128,71,0.0,0.76633334,10,0,1,0,0.08064516129032258
23,119,0,0,0,3,9,0,0,128,59,0.0,0.5339482,9,0,0,1,0.06384408602150538
24,120,0,0,0,3,9,0,0,129,88,0.0,0.79693913,12,0,1,0,0.07997311827956989
25,121,0,0,0,3,0,9,0,129,78,1.0,0.4969883,11,0,0,1,0.07280465949820789
2,122,0,0,0,3,0,8,0,46,18,0.0,0.8112355,5,0,1,0,0.07434301521438451
3,123,0,0,0,3,8,0,0,46,8,0.0,0.72501624,5,0,0,1,0.07434301521438451
26,124,0,0,0,3,0,9,0,130,106,0.0,0.7791616,13,0,1,0,0.07235663082437276
27,125,0,0,0,3,9,0,0,130,95,1.0,0.46061504,12,0,0,1,0.07997311827956989
4,126,0,0,0,3,8,0,0,47,66,0.0,0.6896205,10,0,1,0,0.06535269709543569
5,127,0,0,0,3,0,8,0,47,58,1.0,0.46590870000000006,10,0,0,1,0.06535269709543569
6,128,0,0,0,3,0,8,0,48,82,0.0,0.5291003000000001,12,0,1,0,0.06881051175656985
7,129,0,0,0,3,8,0,0,48,72,0.0,0.5383183000000001,11,0,0,1,0.08022130013831259
28,130,0,0,0,3,12,0,0,110,88,0.0,0.7225559,12,0,1,0,0.07997311827956989
29,131,0,0,0,3,0,12,0,110,78,0.0,0.5093755999999999,11,0,0,1,0.07280465949820789
30,132,0,0,0,3,9,0,0,131,120,0.0,0.8070768,15,0,1,0,0.04233870967741935
31,133,0,0,0,3,0,9,0,131,109,0.0,0.53027153,14,0,0,1,0.06653225806451613
8,134,0,0,0,3,9,0,0,49,31,0.0,0.8630328000000002,7,0,1,0,0.053596127247579534
9,135,0,0,0,3,0,9,0,49,23,0.0,0.79495114,6,0,0,1,0.0594744121715076
32,136,0,0,0,3,0,12,0,111,106,0.0,0.69500506,13,0,1,0,0.07235663082437276
33,137,0,0,0,3,12,0,0,111,95,1.0,0.44143683,12,0,0,1,0.07997311827956989
34,138,0,0,0,3,2,0,0,132,141,0.0,0.8357505,1,0,1,0,0.03920250896057348
35,139,0,0,0,3,0,2,0,132,133,0.0,0.52251124,0,0,0,1,0.010080645161290322
36,140,0,0,0,3,0,2,0,133,157,0.0,0.83940774,3,0,1,0,0.06025985663082437
37,141,0,0,0,3,2,0,0,133,147,0.0,0.6367675,2,0,0,1,0.06630824372759858
10,142,0,0,0,3,0,9,0,50,46,0.0,0.7947395,9,0,1,0,0.08125864453665284
11,143,0,0,0,3,9,0,0,50,38,0.0,0.5553812,8,0,0,1,0.06846473029045644
2,144,0,0,0,3,4,0,0,84,108,0.0,0.8487773000000001,2,0,1,0,0.0863921217547001
3,145,0,0,0,3,0,4,0,84,98,0.0,0.76065004,1,0,0,1,0.06177260519247986
38,146,0,0,0,3,2,0,0,134,102,0.0,0.82925415,13,0,1,0,0.07235663082437276
39,147,0,0,0,3,0,2,0,134,92,1.0,0.47125477,12,0,0,1,0.07997311827956989
12,148,0,0,0,3,9,0,0,51,71,0.0,0.71975857,11,0,1,0,0.08022130013831259
13,149,0,0,0,3,0,9,0,51,62,1.0,0.48421878,10,0,0,1,0.06535269709543569
4,150,0,0,0,3,0,4,0,85,28,0.0,0.71921384,7,0,1,0,0.06042972247090421
5,151,0,0,0,3,4,0,0,85,21,0.0,0.6528528,6,0,0,1,0.040286481647269466
14,152,0,0,0,3,0,9,0,52,87,0.0,0.6162094,12,0,1,0,0.06881051175656985
15,153,0,0,0,3,9,0,0,52,78,0.0,0.50184846,11,0,0,1,0.08022130013831259
40,154,0,0,0,3,1,0,0,122,73,0.0,0.8167061,10,0,1,0,0.08064516129032258
41,155,0,0,0,3,0,1,0,122,63,0.0,0.57733893,9,0,0,1,0.06384408602150538
42,156,0,0,0,3,0,2,0,135,120,0.0,0.8586060999999999,15,0,1,0,0.04233870967741935
43,157,0,0,0,3,2,0,0,135,109,0.0,0.6323973,14,0,0,1,0.06653225806451613
6,158,0,0,0,3,4,0,0,86,38,0.0,0.58025867,9,0,1,0,0.05371530886302596
7,159,0,0,0,3,0,4,0,86,31,0.0,0.5410665,8,0,0,1,0.0738585496866607
44,160,0,0,0,3,0,1,0,123,90,0.0,0.83177704,12,0,1,0,0.07997311827956989
45,161,0,0,0,3,1,0,0,123,81,0.0,0.50500494,11,0,0,1,0.07280465949820789
8,162,0,0,0,3,0,4,0,87,85,0.0,0.6037779999999999,15,0,1,0,0.05505819158460161
9,163,0,0,0,3,4,0,0,87,78,1.0,0.44423378,14,0,0,1,0.05774395702775291
46,164,0,0,0,3,0,9,0,124,161,0.0,0.87553406,3,0,1,0,0.06025985663082437
47,165,0,0,0,3,9,0,0,124,151,0.0,0.75902927,2,0,0,1,0.06630824372759858
48,166,0,0,0,3,9,0,0,125,16,0.0,0.8004789000000001,5,0,1,0,0.07056451612903226
49,167,0,0,0,3,0,9,0,125,5,0.0,0.5871972,4,0,0,1,0.06541218637992832
16,168,0,0,0,3,3,2,0,43,127,0.0,0.7445291999999999,1,0,1,0,0.057053941908713685
17,169,0,0,0,3,2,3,0,43,120,0.0,0.63436913,0,0,0,1,0.041493775933609964
10,170,0,0,0,3,0,1,0,53,105,0.0,0.87545,1,0,1,0,0.06177260519247986
11,171,0,0,0,3,1,0,0,53,97,0.0,0.71802086,1,0,0,1,0.06177260519247986
12,172,0,0,0,3,0,1,0,66,42,0.0,0.61717975,9,0,1,0,0.05371530886302596
13,173,0,0,0,3,1,0,0,66,37,1.0,0.41983580000000004,9,0,0,1,0.05371530886302596
14,174,0,0,0,3,1,0,0,79,90,0.0,0.5973430999999999,15,0,1,0,0.05505819158460161
15,175,0,0,0,3,0,1,0,79,82,1.0,0.37221426,14,0,0,1,0.05774395702775291
50,176,0,0,0,3,6,0,0,22,1,0.0,0.9464591999999998,4,0,1,0,0.06541218637992832
51,177,0,0,0,3,0,6,0,22,152,0.0,0.76076806,3,0,0,1,0.06025985663082437
52,178,0,0,0,3,6,0,0,28,33,0.0,0.9004764999999999,7,0,1,0,0.07146057347670251
53,179,0,0,0,3,0,6,0,28,21,0.0,0.76728153,6,0,0,1,0.058915770609319
54,180,0,0,0,3,0,6,0,41,115,0.0,0.5973623,14,0,1,0,0.06653225806451613
55,181,0,0,0,3,6,0,0,41,104,0.0,0.5153901,13,0,0,1,0.07235663082437276
56,182,0,0,0,3,5,6,0,119,83,0.0,0.7739312,11,0,1,0,0.07280465949820789
57,183,0,0,0,3,6,5,0,119,71,0.0,0.5367706,10,0,0,1,0.08064516129032258
16,184,0,0,0,3,0,1,0,54,114,0.0,0.9088841999999999,2,0,1,0,0.0863921217547001
17,185,0,0,0,3,1,0,0,54,106,0.0,0.6990634,2,0,0,1,0.0863921217547001
18,186,0,0,0,3,1,0,0,67,39,0.0,0.6342304,9,0,1,0,0.05371530886302596
19,187,0,0,0,3,0,1,0,67,34,1.0,0.33391804,8,0,0,1,0.0738585496866607
58,188,0,0,0,3,0,6,0,23,17,0.0,0.60807776,5,0,1,0,0.07056451612903226
59,189,0,0,0,3,0,6,0,29,50,0.0,0.63687503,8,0,1,0,0.06541218637992832
60,190,0,0,0,3,6,0,0,29,39,0.0,0.5155196,7,0,0,1,0.07146057347670251
61,191,0,0,0,3,6,0,0,42,109,0.0,0.9106042999999999,14,0,1,0,0.06653225806451613
62,192,0,0,0,3,0,6,0,42,96,0.0,0.7463295999999999,13,0,0,1,0.07235663082437276
4,193,0,0,0,3,1,0,0,0,7,0.0,0.54423726,4,0,1,0,0.09375
5,194,0,0,0,3,0,1,0,0,4,0.0,0.6075045,3,0,0,1,0.052083333333333336
63,195,0,0,0,3,6,0,0,30,43,0.0,0.89031744,8,0,1,0,0.06541218637992832
64,196,0,0,0,3,0,6,0,30,32,0.0,0.753147,7,0,0,1,0.07146057347670251
6,197,0,0,0,3,0,1,0,1,13,0.0,0.8320158999999999,6,0,1,0,0.25
7,198,0,0,0,3,1,0,0,1,10,0.0,0.6062342,5,0,0,1,0.13541666666666666
18,199,0,0,0,3,2,3,0,44,68,0.0,0.6832520000000001,11,0,1,0,0.08022130013831259
19,200,0,0,0,3,3,2,0,44,59,1.0,0.48570102,10,0,0,1,0.06535269709543569
20,201,0,0,0,3,1,0,0,55,109,0.0,0.9088841999999999,2,0,1,0,0.0863921217547001
21,202,0,0,0,3,0,1,0,55,100,0.0,0.7123691999999999,1,0,0,1,0.06177260519247986
22,203,0,0,0,3,0,1,0,68,50,0.0,0.6519666000000001,10,0,1,0,0.06714413607878246
23,204,0,0,0,3,1,0,0,68,43,1.0,0.29225814,10,0,0,1,0.06714413607878246
24,205,0,0,0,3,0,1,0,56,124,0.0,0.86833715,3,0,1,0,0.0720680393912265
25,206,0,0,0,3,1,0,0,56,115,0.0,0.55979663,3,0,0,1,0.0720680393912265
26,207,0,0,0,3,1,0,0,69,46,0.0,0.68517447,10,0,1,0,0.06714413607878246
27,208,0,0,0,3,0,1,0,69,40,1.0,0.40868115,9,0,0,1,0.05371530886302596
65,209,0,0,0,3,0,6,0,31,61,0.0,0.57226413,9,0,1,0,0.06384408602150538
66,210,0,0,0,3,6,0,0,31,50,0.0,0.55060375,8,0,0,1,0.06541218637992832
28,211,0,0,0,3,1,0,0,57,120,0.0,0.8845555,3,0,1,0,0.0720680393912265
29,212,0,0,0,3,0,1,0,57,110,0.0,0.6680831,2,0,0,1,0.0863921217547001
30,213,0,0,0,3,0,1,0,70,59,0.0,0.73449945,11,0,1,0,0.08594449418084155
31,214,0,0,0,3,1,0,0,70,51,1.0,0.28808194,11,0,0,1,0.08594449418084155
67,215,0,0,0,3,6,0,0,32,55,0.0,0.8889761999999999,9,0,1,0,0.06384408602150538
68,216,0,0,0,3,0,6,0,32,42,0.0,0.7701819000000001,8,0,0,1,0.06541218637992832
32,217,0,0,0,3,0,1,0,58,10,0.0,0.8836417999999999,4,0,1,0,0.06401074306177261
33,218,0,0,0,3,1,0,0,58,0,0.0,0.6244639,4,0,0,1,0.06401074306177261
34,219,0,0,0,3,1,0,0,71,54,0.0,0.73449945,11,0,1,0,0.08594449418084155
35,220,0,0,0,3,0,1,0,71,47,1.0,0.2882259,10,0,0,1,0.06714413607878246
69,221,0,0,0,3,0,6,0,33,72,0.0,0.55419624,10,0,1,0,0.08064516129032258
70,222,0,0,0,3,6,0,0,33,61,0.0,0.5799266,9,0,0,1,0.06384408602150538
71,223,0,0,0,3,0,6,0,43,124,0.0,0.639066,15,0,1,0,0.04233870967741935
72,224,0,0,0,3,6,0,0,43,115,0.0,0.5847008,14,0,0,1,0.06653225806451613
73,225,0,0,0,3,6,0,0,44,120,0.0,0.9374061,15,0,1,0,0.04233870967741935
74,226,0,0,0,3,0,6,0,44,108,0.0,0.7834523,14,0,0,1,0.06653225806451613
36,227,0,0,0,3,1,0,0,59,5,0.0,0.8981959,4,0,1,0,0.06401074306177261
37,228,0,0,0,3,0,1,0,59,121,0.0,0.59137523,3,0,0,1,0.0720680393912265
75,229,0,0,0,3,6,0,0,34,66,0.0,0.89095145,10,0,1,0,0.08064516129032258
76,230,0,0,0,3,0,6,0,34,54,0.0,0.7701819000000001,9,0,0,1,0.06384408602150538
77,231,0,0,0,3,6,5,0,112,158,0.0,0.7342373000000001,3,0,1,0,0.06025985663082437
78,232,0,0,0,3,5,6,0,112,147,0.0,0.7653751999999999,2,0,0,1,0.06630824372759858
38,233,0,0,0,3,0,1,0,72,68,0.0,0.61665595,12,0,1,0,0.0756490599820949
39,234,0,0,0,3,1,0,0,72,60,1.0,0.3002324,12,0,0,1,0.0756490599820949
79,235,0,0,0,3,5,6,0,113,144,0.0,0.68897617,2,0,1,0,0.06630824372759858
80,236,0,0,0,3,6,5,0,113,136,0.0,0.7696655,1,0,0,1,0.03920250896057348
40,237,0,0,0,3,0,1,0,60,17,0.0,0.8678438,5,0,1,0,0.051477170993733216
41,238,0,0,0,3,1,0,0,60,11,1.0,0.49612862,5,0,0,1,0.051477170993733216
42,239,0,0,0,3,1,0,0,73,64,0.0,0.6514317,12,0,1,0,0.0756490599820949
43,240,0,0,0,3,0,1,0,73,55,1.0,0.26824933,11,0,0,1,0.08594449418084155
81,241,0,0,0,3,0,6,0,35,83,0.0,0.5724168000000001,11,0,1,0,0.07280465949820789
82,242,0,0,0,3,6,0,0,35,72,0.0,0.5249469,10,0,0,1,0.08064516129032258
44,243,0,0,0,3,1,0,0,61,12,0.0,0.88121057,5,0,1,0,0.051477170993733216
45,244,0,0,0,3,0,1,0,61,6,0.0,0.67290145,4,0,0,1,0.06401074306177261
46,245,0,0,0,3,0,1,0,74,77,0.0,0.611215,13,0,1,0,0.06803939122649955
47,246,0,0,0,3,1,0,0,74,69,1.0,0.2708791,13,0,0,1,0.06803939122649955
83,247,0,0,0,3,0,6,0,17,142,0.0,0.7071603,2,0,1,0,0.06630824372759858
84,248,0,0,0,3,6,0,0,17,135,0.0,0.84504163,1,0,0,1,0.03920250896057348
85,249,0,0,0,3,6,0,0,23,7,0.0,0.7465614,4,0,0,1,0.06541218637992832
86,250,0,0,0,3,6,0,0,36,77,0.0,0.89542514,11,0,1,0,0.07280465949820789
87,251,0,0,0,3,0,6,0,36,65,0.0,0.7466221,10,0,0,1,0.08064516129032258
88,252,0,0,0,3,6,5,0,114,102,0.0,0.8027184,13,0,1,0,0.07235663082437276
89,253,0,0,0,3,5,6,0,114,91,1.0,0.45087862,12,0,0,1,0.07997311827956989
48,254,0,0,0,3,1,0,0,62,19,0.0,0.7745846,6,0,1,0,0.040286481647269466
49,255,0,0,0,3,0,1,0,62,13,0.0,0.5784104999999999,5,0,0,1,0.051477170993733216
50,256,0,0,0,3,1,0,0,75,72,0.0,0.64620113,13,0,1,0,0.06803939122649955
51,257,0,0,0,3,0,1,0,75,65,1.0,0.27989227,12,0,0,1,0.0756490599820949
90,258,0,0,0,3,6,0,0,18,143,0.0,0.9442560999999999,2,0,1,0,0.06630824372759858
91,259,0,0,0,3,0,6,0,18,135,0.0,0.83042616,1,0,0,1,0.03920250896057348
92,260,0,0,0,3,6,0,0,24,11,0.0,0.92087495,5,0,1,0,0.07056451612903226
93,261,0,0,0,3,0,6,0,24,0,0.0,0.7693131,4,0,0,1,0.06541218637992832
94,262,0,0,0,3,0,6,0,37,93,0.0,0.5672309,12,0,1,0,0.07997311827956989
95,263,0,0,0,3,6,0,0,37,83,1.0,0.49326545,11,0,0,1,0.07280465949820789
96,264,0,0,0,3,5,6,0,115,20,0.0,0.6106614,5,0,1,0,0.07056451612903226
97,265,0,0,0,3,6,5,0,115,9,0.0,0.7709713,4,0,0,1,0.06541218637992832
52,266,0,0,0,3,0,1,0,63,29,0.0,0.7358779999999999,7,0,1,0,0.06042972247090421
53,267,0,0,0,3,1,0,0,63,23,1.0,0.3804788,7,0,0,1,0.06042972247090421
0,268,0,0,0,3,0,1,0,40,75,0.0,0.6407387,14,0,1,0,0.06397134083930399
1,269,0,0,0,3,1,0,0,40,69,1.0,0.1285553,13,0,0,1,0.07881269191402251
98,270,0,0,0,3,0,6,0,19,160,0.0,0.68142736,3,0,1,0,0.06025985663082437
99,271,0,0,0,3,6,0,0,19,150,0.0,0.7465614,2,0,0,1,0.06630824372759858
100,272,0,0,0,3,0,6,0,25,29,0.0,0.71509093,6,0,1,0,0.058915770609319
101,273,0,0,0,3,6,0,0,38,87,0.0,0.8951629999999999,12,0,1,0,0.07997311827956989
102,274,0,0,0,3,0,6,0,38,76,0.0,0.7164706999999999,11,0,0,1,0.07280465949820789
103,275,0,0,0,3,6,5,0,116,90,0.0,0.8060964,12,0,1,0,0.07997311827956989
104,276,0,0,0,3,5,6,0,116,79,0.0,0.5006412,11,0,0,1,0.07280465949820789
54,277,0,0,0,3,0,1,0,76,84,0.0,0.61569285,14,0,1,0,0.05774395702775291
55,278,0,0,0,3,1,0,0,76,78,1.0,0.33845896,14,0,0,1,0.05774395702775291
